country_name,un_class_2014,imf_class_2023,g7,eu_member,fuel_exp_country,wealth_rank,gdp_ppp_2022,gdp_pc_2022
Grenada,,,No,No,No,89.0,16987.0,10016.0
Gabon,Developing,Emerging,No,No,Yes,90.0,16471.0,8820.0
Paraguay,Developing,Emerging,No,No,No,91.0,15977.0,6153.0
South Africa,Developing,Emerging,No,No,No,92.0,15905.0,6776.0
Moldova,Transition,Emerging,No,No,No,93.0,15238.0,4406.0
Egypt,Developing,Emerging,No,No,Yes,94.0,15091.0,4295.0
Peru,Developing,Emerging,No,No,No,95.0,15048.0,7126.0
Indonesia,Developing,Advanced,No,No,Yes,96.0,14653.0,4788.0
Sri Lanka,Developing,Emerging,No,No,No,97.0,14405.0,3408.0
Mongolia,Developing,Emerging,No,No,No,98.0,14230.0,4947.0
Fiji,,Developing,No,No,No,99.0,14125.0,5317.0
Dominica,,Emerging,No,No,No,100.0,13573.0,8415.0
Viet Nam (Vietnam),Developing,Emerging,No,No,Yes,101.0,13457.0,4164.0
Algeria,Developing,Emerging,No,No,Yes,102.0,13210.0,4274.0
Ecuador,Developing,Emerging,No,No,Yes,103.0,12822.0,6391.0
Ukraine,Transition,Emerging,No,No,No,104.0,12671.0,4043.0
Tunisia,Developing,Emerging,No,No,No,105.0,12490.0,3777.0
Jamaica,Developing,Emerging,No,No,No,106.0,11822.0,6047.0
Belize,,Emerging,No,No,No,107.0,11451.0,6968.0
Namibia,Developing,Emerging,No,No,No,108.0,11206.0,4911.0
El Salvador,Developing,Emerging,No,No,No,109.0,11096.0,5127.0
Jordan,Developing,Emerging,No,No,No,110.0,11003.0,4205.0
Iraq,Developing,Emerging,No,No,Yes,111.0,10862.0,5937.0
Guatemala,Developing,Emerging,No,No,No,112.0,10818.0,5324.0
Eswatini,,Emerging,No,No,No,113.0,10782.0,4040.0
Philippines,Developing,Emerging,No,No,No,114.0,10133.0,3499.0
Bolivia (Plurinational State of),Developing,Emerging,No,No,Yes,115.0,9684.0,3523.0
Uzbekistan,Transition,Emerging,No,No,Yes,116.0,9533.0,2322.0
Morocco,Developing,Emerging,No,No,No,117.0,9519.0,3582.0
Lao P.D.R. (Laos),,Emerging,No,No,No,118.0,9384.0,2088.0
Cabo Verde,Developing,Emerging,No,No,No,119.0,9083.0,3903.0
India,Developing,Emerging,No,No,No,120.0,8379.0,2389.0
Bangladesh,Developing,Emerging,No,No,No,121.0,7395.0,2688.0
Marshall Islands,,,No,No,No,122.0,7228.0,6728.0
Angola,Developing,Emerging,No,No,Yes,123.0,6974.0,2999.0
Nicaragua,Developing,Emerging,No,No,No,124.0,6875.0,2255.0
Palestine (State Of),,Emerging,No,No,No,125.0,6757.0,3640.0
Honduras,Developing,Emerging,No,No,No,126.0,6741.0,3040.0
Côte d’Ivoire,Developing,Emerging,No,No,Yes,127.0,6538.0,2486.0
Ghana,Developing,Emerging,No,No,No,128.0,6498.0,2176.0
Pakistan,Developing,Emerging,No,No,No,129.0,6437.0,1597.0
Mauritania,Developing,Emerging,No,No,No,130.0,6424.0,2191.0
Kyrgyzstan,Transition,Emerging,No,No,No,131.0,6133.0,1649.0
Samoa,,Emerging,No,No,No,132.0,6041.0,3743.0
Nigeria,Developing,Emerging,No,No,Yes,133.0,5860.0,2184.0
Kenya,Developing,Emerging,No,No,No,134.0,5764.0,2099.0
Tuvalu,,Emerging,No,No,No,135.0,5421.0,5335.0
Tajikistan,Transition,Emerging,No,No,No,137.0,4885.0,1054.0
Myanmar,Developing,Emerging,No,No,No,138.0,4870.0,1096.0
Timor-Leste,Developing,Emerging,No,No,No,139.0,4828.0,2358.0
Sao Tome and Prinicipe,Developing,Emerging,No,No,No,140.0,4738.0,2404.0
Nepal,Developing,Emerging,No,No,No,141.0,4725.0,1337.0
Papua New Guinea,Developing,Emerging,No,No,No,142.0,4447.0,3020.0
Cameroon,Developing,Emerging,No,No,Yes,143.0,4408.0,1588.0
Sudan,Developing,Emerging,No,No,Yes,144.0,4216.0,1102.0
Senegal,Developing,Emerging,No,No,No,145.0,4209.0,1599.0
Benin,Developing,Emerging,No,No,No,146.0,4056.0,1303.0
Zambia,Developing,Emerging,No,No,No,147.0,3894.0,1488.0
Micronesia,,,No,No,No,148.0,3855.0,792.0
Comoros,Developing,Emerging,No,No,No,149.0,3832.0,1485.0
